LSOA11CD,Income_2019,Income_2025_pred,confidence,boundary_changed,change,pct_change
E01000097,0.223,0.4168769237454978,1.0,0,0.19387692374549778,86.94032454955058
E01000098,0.239,0.4423504692759219,1.0,0,0.20335046927592193,85.08387835812633
E01000099,0.174,0.35362339328989784,1.0,0,0.17962339328989785,103.23183522407923
E01000100,0.16,0.3631592484877447,1.0,0,0.20315924848774472,126.97453030484044
E01000101,0.254,0.4212039501763034,1.0,0,0.1672039501763034,65.82832684106434
E01000102,0.275,0.445404253641205,1.0,0,0.17040425364120498,61.96518314225635
E01000103,0.18,0.38780992764176125,1.0,0,0.20780992764176126,115.44995980097849
E01000104,0.222,0.43761271200507,1.0,0,0.21561271200507,97.12284324552704
E01000105,0.246,0.475772484020719,1.0,0,0.22977248402071898,93.40344878891015
E01000106,0.275,0.5127762244349395,1.0,0,0.2377762244349395,86.46408161270527
E01000107,0.151,0.3236021047478923,1.0,0,0.1726021047478923,114.30602963436579
