LSOA11CD,AdultSkills_2019,AdultSkills_2025_pred,confidence,boundary_changed,change,pct_change
E01000305,0.281,0.3237510514762267,1.0,0,0.042751051476226654,15.213897322500586
E01000306,0.308,0.3252477675032637,1.0,0,0.017247767503263678,5.5999245140466485
E01000307,0.359,0.3194968922400636,1.0,0,-0.03950310775993637,-11.003651186611803
E01000308,0.349,0.28049920645014037,1.0,0,-0.0685007935498596,-19.627734541507053
E01000309,0.188,0.2355935458697584,1.0,0,0.04759354586975839,25.315715888169354
E01000310,0.238,0.2844357355608156,1.0,0,0.046435735560815594,19.510813260846888
E01000311,0.158,0.1605541651555857,1.0,0,0.002554165155585708,1.6165602250542457
E01000312,0.293,0.332015300523468,1.0,0,0.03901530052346802,13.3158022264396
E01000313,0.297,0.3199638479987967,1.0,0,0.022963847998796694,7.731935353130201
E01000314,0.177,0.2173650707793825,1.0,0,0.040365070779382506,22.80512473411441
E01000315,0.388,0.30214816097088926,1.0,0,-0.08585183902911075,-22.126762636368753
E01000316,0.185,0.2209232965168414,1.0,0,0.035923296516841396,19.417998117211567
E01000317,0.173,0.18645338235863718,1.0,0,0.01345338235863719,7.7765215945879715
E01000318,0.214,0.20783569588072806,1.0,0,-0.006164304119271935,-2.8805159435850163
E01000319,0.171,0.15138364347084235,1.0,0,-0.019616356529157664,-11.471553525823195
E01000320,0.163,0.14875286467434234,1.0,0,-0.014247135325657662,-8.74057381942188
E01000321,0.211,0.19763214667578016,1.0,0,-0.01336785332421983,-6.335475509108925
E01000322,0.19,0.19472534973409106,1.0,0,0.0047253497340910555,2.4870261758373977
E01000323,0.203,0.2458441051703762,1.0,0,0.04284410517037618,21.105470527278904
E01000324,0.237,0.20238624173008193,1.0,0,-0.034613758269918055,-14.604961295324076
E01000325,0.306,0.2124178796420806,1.0,0,-0.09358212035791941,-30.58239227382987
E01000326,0.306,0.22297592460954885,1.0,0,-0.08302407539045115,-27.132050781193186
