LSOA11CD,GeoBarriers_2019,GeoBarriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000091,-0.918,24.072088662399644,1.0,0,24.990088662399643,-2722.231880435691
E01000092,0.611,23.84287425630567,0.75,1,23.23187425630567,3802.2707457128754
E01000093,-1.069,18.930785988666845,1.0,0,19.999785988666844,-1870.887370314953
E01000094,0.685,26.962543411795984,1.0,0,26.277543411795985,3836.1377243497786
E01000095,0.802,26.940732049360122,1.0,0,26.138732049360122,3259.193522364105
E01000096,-0.618,19.891823655840202,1.0,0,20.5098236558402,-3318.7416918835274
E01000097,-0.66,18.175826645783204,1.0,0,18.835826645783204,-2853.9131281489704
E01000098,-1.328,17.528593822885856,1.0,0,18.856593822885856,-1419.9242336510433
E01000099,-0.53,20.510666520810467,1.0,0,21.04066652081047,-3969.9370793982016
E01000100,-1.169,18.639102686174,1.0,0,19.808102686174,-1694.4484761483318
E01000101,-1.048,18.9931912213752,1.0,0,20.0411912213752,-1912.327406619771
E01000102,-0.759,19.26813221648959,1.0,0,20.02713221648959,-2638.620845387298
E01000103,-0.206,21.62913537509817,1.0,0,21.83513537509817,-10599.58027917387
E01000104,-0.505,22.4944206238444,1.0,0,22.9994206238444,-4554.340717592951
E01000105,-1.693,17.1738200700594,1.0,0,18.8668200700594,-1114.4016580070524
E01000106,-0.519,19.18342912334765,1.0,0,19.70242912334765,-3796.2291181787377
E01000107,0.075,27.08981918716249,1.0,0,27.01481918716249,36019.75891621666
E01000108,-1.437,21.187587866471713,1.0,0,22.624587866471714,-1574.4320018421513
E01000109,-0.58,19.153907341371564,0.75,1,19.733907341371562,-3402.397817477856
E01000110,-0.49,23.8258999718889,1.0,0,24.3158999718889,-4962.428565691612
E01000111,-0.499,20.742501845489137,1.0,0,21.241501845489136,-4256.813997092012
E01000112,-0.993,17.87923075216586,1.0,0,18.87223075216586,-1900.526762554467
E01000113,-0.438,18.245358647753,1.0,0,18.683358647753,-4265.606997203881
E01000114,-0.98,21.588323169545824,1.0,0,22.568323169545824,-2302.890119341411
E01000115,-0.658,21.16978357510125,1.0,0,21.82778357510125,-3317.292336641527
E01000116,-0.514,22.829909163222638,1.0,0,23.343909163222637,-4541.6165687203575
E01000117,-0.484,22.218068496996118,1.0,0,22.70206849699612,-4690.510020040521
E01000118,-0.425,22.453174571840933,1.0,0,22.878174571840933,-5383.09989925669
E01000119,-0.177,20.63778495951618,1.0,0,20.814784959516178,-11759.765513850949
E01000120,-0.571,20.880422571808523,1.0,0,21.451422571808525,-3756.8165624883586
E01000121,-0.02,25.039651766960827,1.0,0,25.059651766960826,-125298.25883480412
E01000122,0.315,24.30934742541954,1.0,0,23.994347425419537,7617.253150926837
